co_code,nsesymbol,broker_name,sales,pat,ebitda,picked_type,expected_sales,expected_ebitda,expected_pat,ebitda_margin_percent,pat_margin_percent,sales_beat,pat_beat,ebitda_beat,sales_flag,pat_flag,ebitda_flag,overall_flag
3709,FEDERALBNK,Axis Securities,6686.63,861.75,443.3100000000004,Standalone,3376.0,1477.0,912.0,43.8,27.0,98.06368483412322,-5.509868421052631,-69.9857819905213,Beat,Miss,Miss,Miss
3709,FEDERALBNK,Nuvama Institutional Equities,6686.63,861.75,443.3100000000004,Standalone,3348.0,1498.4,949.8,44.7,28.4,99.72013142174433,-9.270372710044215,-70.41444207154296,Beat,Miss,Miss,Miss
3709,FEDERALBNK,Batlivala & Karani Securities India Pvt. Ltd.,6686.63,861.75,443.3100000000004,Standalone,3302.4,95.8,894.0,2.9,27.1,102.4778948643411,-3.6073825503355708,362.7453027139879,Beat,Inline,Beat,Inline
25040,FIEMIND,Batlivala & Karani Securities India Pvt. Ltd.,658.33,56.05,87.36,Standalone,658.6,86.9,56.0,13.2,8.5,-0.040996052232004525,0.08928571428570921,0.5293440736478638,Inline,Inline,Inline,Inline
65893,FINEORG,Nuvama Institutional Equities,588.38,117.1,122.86999999999999,Consolidated,596.9,139.7,113.8,23.4,19.1,-1.4273747696431534,2.8998242530755687,-12.047244094488189,Inline,Inline,Miss,Inline
1252,FINPIPE,Nuvama Institutional Equities,1043.15,98.16,93.59000000000002,Consolidated,1193.1,185.4,163.3,15.5,13.7,-12.568099907803187,-39.88977342314759,-49.51995685005393,Miss,Miss,Miss,Miss
6468,FIVESTAR,Nuvama Institutional Equities,786.68,266.31,358.67999999999995,Standalone,605.2,408.7,278.5,67.6,46.0,29.986781229345656,-4.377019748653501,-12.238805970149263,Beat,Inline,Miss,Inline
73283,FLAIR,Batlivala & Karani Securities India Pvt. Ltd.,288.54,28.95,49.53,Consolidated,284.2,46.9,30.3,16.5,10.7,1.5270935960591245,-4.45544554455446,5.607675906183374,Inline,Inline,Beat,Inline
74458,FLUOROCHEM,Batlivala & Karani Securities India Pvt. Ltd.,1281.0,184.0,344.0,Consolidated,1283.0,324.6,166.8,25.3,13.0,-0.1558846453624318,10.311750599520376,5.976586568083788,Inline,Beat,Beat,Beat
74458,FLUOROCHEM,Nuvama Institutional Equities,1281.0,184.0,344.0,Consolidated,1286.5,293.2,141.2,22.8,11.0,-0.4275165176836378,30.311614730878194,17.326057298772174,Inline,Beat,Beat,Beat
24049,FORTIS,Nuvama Institutional Equities,2166.72,266.78,490.67,Consolidated,2108.0,463.8,223.6,22.0,10.6,2.7855787476280742,19.311270125223604,5.793445450625271,Inline,Beat,Beat,Beat
24882,FSL,Nuvama Institutional Equities,2217.6499999999996,169.33,347.08000000000004,Consolidated,2202.2,341.3,169.4,15.5,7.7,0.7015711561166025,-0.041322314049582747,1.6935247582771842,Inline,Inline,Inline,Inline
12350,GAIL,Batlivala & Karani Securities India Pvt. Ltd.,34768.93,1886.34,3333.67,Standalone,32188.2,3347.6,1958.1,10.4,6.1,8.017627577808014,-3.6647770798222763,-0.41611901063447954,Beat,Inline,Inline,Inline
12350,GAIL,Nuvama Institutional Equities,34768.93,1886.34,3333.67,Standalone,34430.3,3095.5,1761.0,9.0,5.1,0.9835232338957179,7.117546848381597,7.694072040058152,Inline,Beat,Beat,Beat
7167,GALAXYSURF,Batlivala & Karani Securities India Pvt. Ltd.,874.07,42.04,75.74,Standalone,1035.0,133.5,86.2,12.9,8.3,-15.548792270531397,-51.22969837587007,-43.265917602996254,Miss,Miss,Miss,Miss
7167,GALAXYSURF,Nuvama Institutional Equities,1277.92,79.49,123.85000000000001,Consolidated,1206.0,140.8,91.0,11.7,7.5,5.963515754560537,-12.648351648351655,-12.038352272727273,Beat,Miss,Miss,Miss
207,GESHIP,Batlivala & Karani Securities India Pvt. Ltd.,1201.47,504.5,642.77,Consolidated,1171.5,488.5,319.6,41.7,27.3,2.5582586427656873,57.853566958698366,31.580348004094162,Inline,Beat,Beat,Beat
